Respondent_ID,Q01_Age_Group,Q02_Gender,Q03_Region,Q04_City_Tier,Q05_Monthly_Income,Q06_Household_Size,Q07_Occupation,Q08_Purchase_Motivation_Top2,Q09_Traditional_Crafts_Owned,Q10_Gifting_Occasions,Q11_Gift_Budget_Per_Occasion,Q12_Puja_Frequency,Q13_Last_Purchase_Recency,Q14_Purchase_Frequency_12M,Q15_Historical_Spend_12M,Q16_Product_Category_Interest,Q17_Pooja_Set_Budget,Q17b_Kansa_Dinner_Set_Budget,Q_Preferred_Shopping_Channel,Q18_Top2_Reasons_Buying_Brass,Q19_Current_Buying_Source,Q20_Trust_Moradabad_1to5,Q21_Barrier_Removal_Top2,Q22_Preferred_Offer_Type,Q23_NPS_Score_1to5,Q24_Future_Annual_Spend_TARGET,Q25_Purchase_Likelihood_TARGET,Q_Open_Text_Brass_Meaning
PTMB0001,25-34 years,Male,South India,Tier-3 town,Rs 75001-150000,3-4 people (small nuclear),Homemaker,Cultural pride|Sustainability,Antique/vintage collectibles|Stone craft items|Tribal or folk art|Woodcraft/hand-carved wooden items,Corporate gifting,Rs 1500-3500,Every single day,More than 1 year ago,6-10 times,Rs 3001-8000,"Kansa/Bronze Wellness Utensils (plates, bowls, glasses)",Rs 4000-8000,Rs 7000-15000,Word of mouth/referral,Aesthetic beauty|Cultural and religious significance,Yes - local shops/wholesale/roadside,3,Low-cost trial kit/sample set|Videos of handcrafting by Moradabad artisans,Custom engraving/personalisation,4.0,Rs 3001-8000,Probably yes - explore and very likely purchase,
PTMB0002,60 years and above,Male,East India,Metro city,Rs 75001-150000,3-4 people (small nuclear),Salaried - Private sector,Aesthetics|Sustainability,Antique/vintage collectibles|Brass or copper items|Stone craft items|Tribal or folk art,Birthdays and anniversaries|Diwali|Housewarming (Griha Pravesh),Above Rs 15000,Only on festivals,1-3 months ago,1-2 times,Rs 8001-20000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Brass Urli and Home Decor (urlis, planters, wall art, showpieces)|Kansa/Bronze Wellness Utensils (plates, bowls, glasses)",Rs 4000-8000,Rs 3000-7000,Brand website (direct online),Aesthetic beauty|Status and refined taste,"Yes - premium online brand (P-TAL, CopperStudio, Ellementry)",3,"Transparency on sourcing (which artisan, which workshop)|Videos of handcrafting by Moradabad artisans",Free premium gift wrapping + handwritten note,4.0,Rs 20001-50000,Probably yes - explore and very likely purchase,It is the purest metal for puja and daily rituals in our family.
PTMB0003,45-59 years,Female,East India,Semi-rural area,Below Rs 20000,3-4 people (small nuclear),Salaried - Private sector,Health & wellness|Social validation,Handloom/block-printed home textiles,Rarely or never give gifts,Under Rs 500,Rarely or never,1-3 months ago,3-5 times,Rs 1001-3000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)",Under Rs 500,Under Rs 1000,Wholesale/direct from artisan,Cultural and religious significance|Sustainability,Yes - local shops/wholesale/roadside,5,"Purity/authenticity certificate (NABL lab)|Transparency on sourcing (which artisan, which workshop)",Festival cashback (15% off Diwali/Navratri/Akshaya Tritiya),3.0,Rs 1000-3000,Probably not - have trusted alternatives,Brass reminds me of my grandmother's kitchen and feels like home.
PTMB0004,35-44 years,Male,North India,Tier-3 town,Above Rs 300000,5-6 people (medium family),Student,Aesthetics|Value for money,Silver pooja items/silverware|Woodcraft/hand-carved wooden items,Baby showers/naming ceremonies|Weddings,Rs 7000-15000,Every single day,6-12 months ago,1-2 times,Rs 3001-8000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Brass Urli and Home Decor (urlis, planters, wall art, showpieces)|Kansa/Bronze Wellness Utensils (plates, bowls, glasses)",Rs 4000-8000,Above Rs 30000,Local retail store,Aesthetic beauty|Sustainability,Yes - directly from artisans/craft fairs,5,30-day easy return/replacement/refund guarantee|Purity/authenticity certificate (NABL lab),Festival cashback (15% off Diwali/Navratri/Akshaya Tritiya),5.0,Rs 8001-20000,Probably yes - explore and very likely purchase,
PTMB0005,18-24 years,Male,North India,Metro city,Rs 40001-75000,5-6 people (medium family),Business owner/Entrepreneur,Craft & artistry|Status & luxury,Brass or copper items|Handcrafted jewellery|Stone craft items|Woodcraft/hand-carved wooden items,Baby showers/naming ceremonies,Rs 500-1500,A few times a week,Never bought,0 times,Rs 0 (did not buy),"Brass Urli and Home Decor (urlis, planters, wall art, showpieces)|Kansa/Bronze Wellness Utensils (plates, bowls, glasses)",Rs 4000-8000,Rs 1000-3000,Local retail store,Aesthetic beauty|Gifting value,Yes - Amazon/Flipkart (unbranded/generic),1,30-day easy return/replacement/refund guarantee|Verified customer reviews with photos,Buy more save more (any 3 items 20% off),4.0,Rs 1000-3000,Probably yes - explore and very likely purchase,To me brass is just a metal - I prefer stainless steel honestly.
PTMB0006,18-24 years,Female,North India,Village or rural area,Rs 40001-75000,7+ people (large joint family),Freelancer/Self-employed,Health & wellness|Social validation,Silver pooja items/silverware|Tribal or folk art|Woodcraft/hand-carved wooden items,Birthdays and anniversaries|Navratri/Durga Puja/Pongal/regional festivals,Rs 1500-3500,Most days (5-6 days a week),Within last 1 month,3-5 times,Rs 1-1000,"Brass Urli and Home Decor (urlis, planters, wall art, showpieces)|Brass Water Vessels (lotas, surahi-style jars, storage vessels)|Kansa/Bronze Wellness Utensils (plates, bowls, glasses)",Rs 8000-15000,Rs 7000-15000,Word of mouth/referral,Cultural and religious significance|Health and Ayurvedic benefits,No - do not buy brass/traditional products,5,Purity/authenticity certificate (NABL lab)|Verified customer reviews with photos,Free premium gift wrapping + handwritten note,4.0,Rs 8001-20000,Probably yes - explore and very likely purchase,"I associate brass with tradition, warmth, and Indian identity."
PTMB0007,18-24 years,Female,West India,Tier-2 city,Rs 75001-150000,1-2 people (nuclear),Salaried - Government/PSU,Health & wellness|Sustainability,Handloom/block-printed home textiles|Stone craft items|Woodcraft/hand-carved wooden items,Birthdays and anniversaries|Diwali|Housewarming (Griha Pravesh),Rs 3500-7000,A few times a week,6-12 months ago,3-5 times,More than Rs 20000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Kansa/Bronze Wellness Utensils (plates, bowls, glasses)",Rs 8000-15000,Rs 3000-7000,Amazon or Flipkart,Gifting value|Sustainability,No - do not buy brass/traditional products,3,Verified customer reviews with photos|Videos of handcrafting by Moradabad artisans,Buy more save more (any 3 items 20% off),3.0,Rs 1000-3000,Maybe - need to see quality and pricing first,"I associate brass with tradition, warmth, and Indian identity."
PTMB0008,45-59 years,Female,West India,Metro city,Rs 20000-40000,5-6 people (medium family),Freelancer/Self-employed,Cultural pride|Social validation,Antique/vintage collectibles|Handloom/block-printed home textiles|Silver pooja items/silverware,Baby showers/naming ceremonies|Birthdays and anniversaries|Weddings,Rs 1500-3500,Most days (5-6 days a week),1-3 months ago,3-5 times,Rs 1-1000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Curated Corporate Gift Sets (hampers, premium branded packaging)",Under Rs 500,Rs 1000-3000,Brand website (direct online),Cultural and religious significance|Gifting value,Yes - Amazon/Flipkart (unbranded/generic),3,"Transparency on sourcing (which artisan, which workshop)|Verified customer reviews with photos",Loyalty reward points,3.0,Rs 1000-3000,Probably not - have trusted alternatives,"Brass is timeless, beautiful, and heals the body according to Ayurveda."
PTMB0009,35-44 years,Male,South India,Tier-3 town,Rs 75001-150000,7+ people (large joint family),Business owner/Entrepreneur,Cultural pride|Status & luxury,Antique/vintage collectibles|Silver pooja items/silverware|Woodcraft/hand-carved wooden items,Housewarming (Griha Pravesh)|Weddings,Rs 3500-7000,Most days (5-6 days a week),More than 1 year ago,1-2 times,Rs 1001-3000,"Brass Urli and Home Decor (urlis, planters, wall art, showpieces)|Kansa/Bronze Wellness Utensils (plates, bowls, glasses)",Rs 1500-4000,Rs 7000-15000,YouTube/influencer recommendation,Cultural and religious significance|Health and Ayurvedic benefits,No - want to buy but no trusted brand yet,1,"Transparency on sourcing (which artisan, which workshop)|Verified customer reviews with photos",Buy more save more (any 3 items 20% off),3.0,Rs 3001-8000,Probably yes - explore and very likely purchase,
PTMB0010,35-44 years,Female,North India,Metro city,Below Rs 20000,7+ people (large joint family),Retired,Craft & artistry|Cultural pride,Silver pooja items/silverware|Woodcraft/hand-carved wooden items,Birthdays and anniversaries,Rs 3500-7000,Every single day,More than 1 year ago,3-5 times,Rs 3001-8000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Brass Urli and Home Decor (urlis, planters, wall art, showpieces)|Curated Corporate Gift Sets (hampers, premium branded packaging)",Under Rs 500,Rs 1000-3000,Wholesale/direct from artisan,Support Indian artisans|Sustainability,Yes - directly from artisans/craft fairs,3,30-day easy return/replacement/refund guarantee|Videos of handcrafting by Moradabad artisans,No offer needed - buy when I like the product,4.0,Rs 1000-3000,Maybe - need to see quality and pricing first,It is the purest metal for puja and daily rituals in our family.
